CBSA_ID,CBSA_Name_BRFSS,PercentAsthma,PercentObese,PercentBingeDrink,PercentCOPD,PercentCoronaryHeartDisease,PercentCurrentSmoker,PercentDepression,PercentDiabetes,PercentDifficultyErrandsAlone,PercentFluShot,PercentHealthCoverage,PercentOtherCancer,PercentSeatbeltUse,PercentSkinCancer,PercentStroke,PercentTooExpensiveToSeeDoctor
36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",7.89,33.27,20.64,5.94,3.53,16.6,20.61,10.26,6.1,67.27,88.68,5.7,91.63,5.45,2.79,11.94
36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",7.84,26.36,13.77,6.36,4.01,12.87,16.94,10.21,7.87,57.23,82.47,6.79,96.28,6.28,3.1,15.99
37460,"Panama City, FL Metropolitan Statistical Area",8.09,26.84,10.44,8.97,4.62,22.77,22.75,13.42,12.35,56.99,78.64,8.44,89.0,9.2,4.76,21.28
37860,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",6.39,28.79,16.75,7.16,1.52,19.95,24.33,9.86,6.43,62.15,80.96,7.25,92.66,7.48,5.08,15.08
37964,"Philadelphia, PA Metropolitan Division",10.52,31.96,21.73,6.74,4.59,19.77,21.31,11.35,9.42,64.53,91.21,7.29,88.44,3.26,3.67,12.33
38060,"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",9.88,29.35,15.98,5.89,3.4,14.84,18.48,10.2,6.48,56.57,86.77,6.85,94.67,7.71,2.76,13.95
38300,"Pittsburgh, PA Metropolitan Statistical Area",7.53,31.09,19.38,7.08,5.25,21.26,18.93,10.28,6.36,65.78,94.48,7.72,90.17,6.33,2.95,9.15
38860,"Portland-South Portland, ME Metropolitan Statistical Area",9.27,24.27,18.73,5.59,4.19,13.7,23.3,9.2,5.21,65.78,91.85,9.35,96.32,8.64,2.3,10.68
38900,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",9.99,27.18,16.51,4.49,3.1,14.61,23.05,8.9,6.32,60.4,91.48,7.05,97.8,6.91,2.51,12.87
38940,"Port St. Lucie, FL Metropolitan Statistical Area",5.5,25.61,11.94,8.54,5.8,16.42,18.25,11.34,7.85,59.11,81.09,7.0,96.34,9.49,4.07,15.54
39300,"Providence-Warwick, RI-MA Metropolitan Statistical Area",12.54,31.6,17.24,8.23,4.57,15.32,23.71,9.87,8.2,63.58,93.97,7.91,94.47,6.28,3.13,11.45
39340,"Provo-Orem, UT Metropolitan Statistical Area",7.31,23.12,4.77,2.18,2.0,4.2,20.75,5.68,3.76,57.24,88.98,5.19,96.34,5.28,1.66,12.48
39660,"Rapid City, SD Metropolitan Statistical Area",7.25,35.26,14.57,4.46,3.99,19.76,20.78,11.02,5.5,60.44,91.92,6.95,88.45,7.67,2.32,11.51
39900,"Reno, NV Metropolitan Statistical Area",10.62,23.97,20.59,7.17,3.57,14.68,19.49,7.67,5.98,56.11,90.39,7.19,95.04,8.89,3.98,17.11
40060,"Richmond, VA Metropolitan Statistical Area",7.21,31.62,18.57,7.44,4.64,17.35,20.84,10.86,7.37,60.76,89.82,5.74,93.67,6.32,3.59,14.25
40140,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",5.49,31.8,19.33,6.62,2.94,11.06,18.67,13.67,6.8,55.16,88.38,5.83,98.57,4.63,2.82,12.47
40340,"Rochester, MN Metropolitan Statistical Area",8.83,30.5,15.67,5.44,3.81,12.41,19.17,9.2,3.62,73.58,92.31,5.77,97.49,6.95,2.19,8.29
40380,"Rochester, NY Metropolitan Statistical Area",11.63,28.82,15.52,6.47,4.99,17.26,23.95,11.45,6.18,71.2,90.24,6.57,94.37,5.21,,12.4
40484,"Rockingham County-Strafford County, NH Metropolitan Division",13.84,25.84,18.33,6.27,3.47,14.03,22.9,7.77,6.24,61.13,93.35,8.91,86.09,5.95,2.08,9.61
40900,"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",11.22,27.9,17.63,5.9,1.95,9.45,19.74,10.21,5.94,69.8,92.48,6.91,98.45,6.23,3.07,7.8
41060,"St. Cloud, MN Metropolitan Statistical Area",8.04,29.54,22.88,2.75,2.92,16.29,22.45,8.75,4.97,55.31,92.6,6.99,94.56,5.52,1.98,10.35
41180,"St. Louis, MO-IL Metropolitan Statistical Area",10.14,31.26,21.22,7.38,4.37,19.35,21.55,11.0,8.2,66.75,91.27,9.21,93.05,5.94,3.32,12.33
41460,"Salina, KS Micropolitan Statistical Area",8.75,33.46,17.79,8.13,3.8,20.18,22.79,10.16,8.35,47.63,86.98,7.88,95.13,8.13,6.0,14.76
41540,"Salisbury, MD-DE Metropolitan Statistical Area",8.97,33.02,13.16,8.46,5.47,18.27,20.18,11.79,8.08,63.75,89.32,8.93,96.95,8.97,4.3,10.61
41620,"Salt Lake City, UT Metropolitan Statistical Area",9.29,24.94,15.71,4.08,2.37,10.38,23.77,7.31,4.78,61.2,86.86,5.77,96.59,6.68,2.12,14.37
41700,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",6.51,30.67,19.16,7.19,5.02,17.87,21.35,13.01,9.13,70.06,72.07,8.64,94.93,4.19,,18.65
41980,"San Juan-Carolina-Caguas, PR Metropolitan Statistical Area",11.67,32.41,12.26,4.52,6.7,11.66,18.52,16.14,14.3,41.52,93.64,4.13,97.43,0.92,2.72,14.26
42420,"Scottsbluff, NE Micropolitan Statistical Area",6.92,35.33,13.26,6.51,4.36,22.27,23.14,14.66,8.05,55.76,82.32,8.73,86.94,5.88,2.97,16.47
42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",8.63,23.18,16.47,3.79,2.66,10.35,21.55,7.49,4.31,69.18,91.08,6.51,97.63,6.02,2.47,10.9
43524,"Silver Spring-Frederick-Rockville, MD Metropolitan Division",6.75,21.31,13.52,3.47,2.43,8.69,16.82,8.13,3.26,75.62,88.09,5.75,96.64,5.66,1.54,10.74
43580,"Sioux City, IA-NE-SD Metropolitan Statistical Area",7.15,29.7,17.89,5.3,4.48,19.64,20.36,8.7,3.89,63.87,90.52,7.27,95.19,4.49,3.16,13.01
43620,"Sioux Falls, SD Metropolitan Statistical Area",5.75,29.05,19.39,4.42,4.7,20.34,18.03,8.75,6.02,69.12,85.72,6.38,88.14,3.24,1.97,7.79
43780,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",3.25,32.93,19.15,7.41,4.93,21.13,23.07,8.76,5.28,63.05,88.1,9.4,96.5,5.51,3.58,10.39
43900,"Spartanburg, SC Metropolitan Statistical Area",7.97,34.65,11.64,8.31,2.75,18.25,23.4,11.59,9.41,56.99,85.41,6.75,98.14,5.47,4.23,17.39
44060,"Spokane-Spokane Valley, WA Metropolitan Statistical Area",11.49,27.91,13.71,7.15,3.1,16.86,24.61,7.58,7.04,56.18,93.48,8.88,96.78,6.51,2.46,10.11
44140,"Springfield, MA Metropolitan Statistical Area",11.5,24.19,20.83,5.97,4.48,18.49,23.12,7.64,11.99,54.68,93.86,7.28,90.36,6.1,,15.0
45220,"Tallahassee, FL Metropolitan Statistical Area",6.94,32.25,18.74,5.05,3.21,13.98,15.72,8.71,4.79,67.96,89.77,5.09,95.08,8.54,2.38,13.04
45300,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",8.67,26.02,16.5,8.38,5.58,18.39,16.63,9.2,9.24,63.86,84.19,9.85,96.85,9.42,4.22,16.46
45780,"Toledo, OH Metropolitan Statistical Area",9.6,41.28,21.99,8.55,6.54,19.82,25.95,12.41,9.08,58.75,93.5,5.55,89.85,5.63,3.34,13.14
45820,"Topeka, KS Metropolitan Statistical Area",10.28,37.06,16.25,7.89,4.57,20.75,23.74,12.43,6.4,61.76,90.23,7.63,94.0,7.87,2.88,9.67
46140,"Tulsa, OK Metropolitan Statistical Area",9.61,36.03,14.71,8.13,4.13,19.95,24.59,11.7,7.66,68.79,84.25,6.79,94.43,6.68,4.84,15.32
46220,"Tuscaloosa, AL Metropolitan Statistical Area",9.09,36.79,12.47,10.2,3.0,19.85,26.32,11.44,13.15,59.88,86.05,6.94,96.14,6.19,2.52,14.17
47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",10.68,32.39,19.01,6.11,3.84,16.21,19.55,12.08,5.81,69.31,88.16,6.87,95.01,5.33,3.86,15.38
47664,"Warren-Troy-Farmington Hills, MI Metropolitan Division",9.93,28.32,18.94,7.06,5.23,16.56,19.75,10.06,7.43,60.72,93.94,8.97,95.52,6.0,3.04,10.15
47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",7.76,27.63,16.27,4.67,2.63,11.15,14.19,7.68,4.56,64.73,90.57,5.58,96.29,4.75,2.57,11.06
48620,"Wichita, KS Metropolitan Statistical Area",9.0,33.94,15.56,6.18,4.25,18.73,22.6,11.33,6.69,55.25,86.75,7.4,94.61,4.86,2.76,13.61
48660,"Wichita Falls, TX Metropolitan Statistical Area",,42.56,20.84,,11.03,22.72,22.83,22.3,7.84,41.75,81.11,6.81,98.77,6.84,,25.78
48864,"Wilmington, DE-MD-NJ Metropolitan Division",11.1,31.73,15.12,7.85,3.66,17.1,19.73,10.45,7.98,64.38,91.61,6.99,95.34,6.22,3.25,12.97
49340,"Worcester, MA-CT Metropolitan Statistical Area",14.98,28.48,17.34,7.73,4.08,15.32,21.1,11.14,9.13,57.09,93.1,8.3,93.71,4.2,3.6,8.77
